Date,Interest_Rate
19/01/1978,10.1
02/02/1978,9.88
16/02/1978,9.82
02/03/1978,9.75
16/03/1978,9.62
06/04/1978,9.63
20/04/1978,9.65
04/05/1978,9.58
18/05/1978,9.59
01/06/1978,9.71
15/06/1978,9.89
06/07/1978,10.09
20/07/1978,10.21
03/08/1978,10.39
17/08/1978,10.52
31/08/1978,10.7
14/09/1978,10.84
05/10/1978,11.16
19/10/1978,11.47
03/11/1978,12.21
16/11/1978,12.47
30/11/1978,12.59
14/12/1978,12.75
04/01/1979,13.28
11/01/1979,13.38
18/01/1979,13.52
25/01/1979,13.57
01/02/1979,13.7
08/02/1979,13.75
15/02/1979,13.79
22/02/1979,13.84
01/03/1979,13.9
08/03/1979,13.99
15/03/1979,14.01
22/03/1979,13.99
29/03/1979,13.96
05/04/1979,14.01
11/04/1979,14.04
19/04/1979,14.11
26/04/1979,14.12
03/05/1979,14.15
10/05/1979,14.31
17/05/1979,14.42
24/05/1979,14.42
31/05/1979,14.38
07/06/1979,14.4
14/06/1979,14.42
21/06/1979,14.52
28/06/1979,14.63
05/07/1979,14.74
12/07/1979,14.88
19/07/1979,15.01
26/07/1979,15.09
02/08/1979,15.22
09/08/1979,15.3
16/08/1979,15.36
23/08/1979,15.45
30/08/1979,15.53
06/09/1979,15.55
13/09/1979,15.57
20/09/1979,15.63
27/09/1979,15.69
04/10/1979,15.75
11/10/1979,15.84
18/10/1979,16.1
25/10/1979,16.24
01/11/1979,16.24
08/11/1979,16.67
15/11/1979,16.87
22/11/1979,17.07
29/11/1979,17.35
06/12/1979,17.55
13/12/1979,17.8
20/12/1979,18.1
27/12/1979,18.5
03/01/1980,18.62
10/01/1980,18.65
17/01/1980,18.72
24/01/1980,18.87
31/01/1980,19.02
07/02/1980,19.09
14/02/1980,19.3
21/02/1980,19.3
28/02/1980,19.96
06/03/1980,20.4
13/03/1980,21.66
20/03/1980,22.01
27/03/1980,22.01
02/04/1980,22.05
10/04/1980,22.45
17/04/1980,22.4
24/04/1980,22.65
30/04/1980,22.65
08/05/1980,22.65
15/05/1980,22.55
22/05/1980,22.34
29/05/1980,22.18
05/06/1980,21.88
12/06/1980,21.68
19/06/1980,21.48
26/06/1980,21.46
03/07/1980,21.07
10/07/1980,21.2
17/07/1980,20.9
24/07/1980,20.9
31/07/1980,20.79
07/08/1980,20.94
14/08/1980,21.44
21/08/1980,21.79
28/08/1980,21.99
04/09/1980,22.98
11/09/1980,23.39
18/09/1980,23.58
25/09/1980,23.91
02/10/1980,24.24
09/10/1980,24.91
16/10/1980,24.91
23/10/1980,25.01
30/10/1980,25.01
06/11/1980,25.26
13/11/1980,25.75
19/11/1980,26.25
27/11/1980,26.5
04/12/1980,26.8
11/12/1980,27.35
18/12/1980,28.35
26/12/1980,29.25
02/01/1981,29.05
08/01/1981,29.05
15/01/1981,28.85
22/01/1981,28.85
29/01/1981,28.9
04/02/1981,28.79
12/02/1981,28.79
19/02/1981,28.85
26/02/1981,28.85
05/03/1981,28.72
12/03/1981,28.72
19/03/1981,28.72
26/03/1981,28.37
02/04/1981,28.32
09/04/1981,28.31
15/04/1981,28.26
23/04/1981,28.56
30/04/1981,28.56
07/05/1981,28.16
14/05/1981,28.16
21/05/1981,28.16
28/05/1981,28.01
04/06/1981,28.01
11/06/1981,28.13
18/06/1981,28.45
25/06/1981,28.85
02/07/1981,29.35
09/07/1981,30.1
16/07/1981,30.63
23/07/1981,31.17
30/07/1981,32.67
06/08/1981,33.32
13/08/1981,33.72
20/08/1981,33.75
27/08/1981,33.81
03/09/1981,33.91
10/09/1981,33.97
17/09/1981,33.95
24/09/1981,33.89
01/10/1981,33.75
08/10/1981,34.0
15/10/1981,33.94
22/10/1981,33.74
29/10/1981,33.69
05/11/1981,33.69
12/11/1981,33.59
19/11/1981,33.33
26/11/1981,32.98
03/12/1981,32.95
10/12/1981,33.2
17/12/1981,33.2
24/12/1981,33.45
30/12/1981,33.9
07/01/1982,34.05
14/01/1982,33.85
21/01/1982,34.3
28/01/1982,34.6
04/02/1982,35.15
11/02/1982,35.8
18/02/1982,36.5
25/02/1982,36.65
04/03/1982,35.65
11/03/1982,35.15
18/03/1982,35.15
25/03/1982,35.15
01/04/1982,35.15
07/04/1982,36.15
15/04/1982,37.11
22/04/1982,39.6
29/04/1982,40.45
06/05/1982,40.45
13/05/1982,41.95
20/05/1982,43.45
27/05/1982,45.47
03/06/1982,47.46
10/06/1982,49.96
17/06/1982,52.46
24/06/1982,52.46
01/07/1982,52.46
08/07/1982,52.46
15/07/1982,52.96
22/07/1982,53.52
29/07/1982,53.97
05/08/1982,54.52
12/08/1982,55.88
19/08/1982,56.44
26/08/1982,56.59
02/09/1982,56.59
09/09/1982,56.59
15/09/1982,54.59
23/09/1982,46.23
30/09/1982,39.33
07/10/1982,46.38
14/10/1982,39.7
21/10/1982,41.16
28/10/1982,44.81
04/11/1982,49.7
11/11/1982,53.08
18/11/1982,50.31
25/11/1982,53.62
02/12/1982,56.82
09/12/1982,57.5
16/12/1982,58.79
23/12/1982,58.32
30/12/1982,57.86
06/01/1983,58.92
13/01/1983,60.06
20/01/1983,60.76
27/01/1983,59.7
03/02/1983,61.89
10/02/1983,61.07
17/02/1983,60.72
24/02/1983,62.27
03/03/1983,65.3
10/03/1983,62.91
17/03/1983,65.14
24/03/1983,64.95
30/03/1983,65.76
07/04/1983,63.96
14/04/1983,62.6
21/04/1983,62.99
28/04/1983,62.66
04/05/1983,63.76
12/05/1983,63.18
19/05/1983,63.46
25/05/1983,63.18
02/06/1983,62.99
09/06/1983,62.59
16/06/1983,62.42
23/06/1983,62.83
30/06/1983,62.59
07/07/1983,62.25
14/07/1983,61.33
21/07/1983,60.73
28/07/1983,60.33
04/08/1983,59.75
11/08/1983,58.28
18/08/1983,57.44
25/08/1983,57.39
31/08/1983,56.97
08/09/1983,55.95
15/09/1983,55.81
22/09/1983,56.4
29/09/1983,57.02
06/10/1983,55.39
13/10/1983,54.87
20/10/1983,54.42
27/10/1983,54.19
